BRTH_YR,GNDR,ETHCTY,NM,RNK,CNT
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,abigail,24,96
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ada,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,aisha,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,aiza,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,aleena,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,alexa,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,alexandra,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,alice,21,108
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,alina,23,100
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,alisha,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,aliyah,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,allison,31,68
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,alyssa,22,104
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,amanda,26,88
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,amber,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,amelia,34,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,amy,24,96
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,angel,26,88
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,angela,10,188
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,angelina,22,104
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,angie,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,anika,34,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,anna,19,120
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,annabelle,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,annie,28,80
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,aria,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ariana,33,60
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,arianna,37,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,arya,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ashley,8,208
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,audrey,29,76
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ava,25,92
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ayesha,31,68
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,bella,32,64
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,bonnie,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,brianna,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,catherine,21,108
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,cecilia,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,charlotte,34,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,chloe,2,424
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,christina,28,80
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,christine,37,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,christy,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,cindy,34,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,claire,21,108
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,cynthia,34,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,daisy,37,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,diya,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,eileen,30,72
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,elaine,20,112
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,elena,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,elina,37,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,elizabeth,33,60
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ella,23,100
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,emily,3,372
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,emma,5,300
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,erica,29,76
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,erika,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,erin,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,eshal,37,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,eva,26,88
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,evelyn,31,68
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,fatima,24,96
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,fiona,9,192
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,gianna,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,grace,16,132
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,hailey,32,64
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,hannah,25,92
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,helen,38,40
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,irene,28,80
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,iris,22,104
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,isabel,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,isabella,6,268
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,isabelle,37,44
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,ivy,15,140
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,janice,34,56
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jannat,35,52
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jasmine,18,124
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jennifer,30,72
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jenny,21,108
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jessica,22,104
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jessie,30,72
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,jia,36,48
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,joanna,13,152
