BRTH_YR,NM,CNT
2011,abigail,96.0
2011,ada,52.0
2011,aisha,52.0
2011,aiza,40.0
2011,aleena,48.0
2011,alexa,40.0
2011,alexandra,52.0
2011,alice,108.0
2011,alina,100.0
2011,alisha,40.0
2011,aliyah,48.0
2011,allison,68.0
2011,alyssa,104.0
2011,amanda,88.0
2011,amber,52.0
2011,amelia,56.0
2011,amy,96.0
2011,angel,88.0
2011,angela,188.0
2011,angelina,104.0
2011,angie,40.0
2011,anika,56.0
2011,anna,120.0
2011,annabelle,40.0
2011,annie,80.0
2011,aria,48.0
2011,ariana,60.0
2011,arianna,44.0
2011,arya,48.0
2011,ashley,208.0
2011,audrey,76.0
2011,ava,92.0
2011,ayesha,68.0
2011,bella,64.0
2011,bonnie,40.0
2011,brianna,52.0
2011,catherine,108.0
2011,cecilia,48.0
2011,charlotte,56.0
2011,chloe,424.0
2011,christina,80.0
2011,christine,44.0
2011,christy,48.0
2011,cindy,56.0
2011,claire,108.0
2011,cynthia,56.0
2011,daisy,44.0
2011,diya,48.0
2011,eileen,72.0
2011,elaine,112.0
2011,elena,48.0
2011,elina,44.0
2011,elizabeth,60.0
2011,ella,100.0
2011,emily,372.0
2011,emma,300.0
2011,erica,76.0
2011,erika,48.0
2011,erin,52.0
2011,eshal,44.0
2011,eva,88.0
2011,evelyn,68.0
2011,fatima,96.0
2011,fiona,192.0
2011,gianna,52.0
2011,grace,132.0
2011,hailey,64.0
2011,hannah,92.0
2011,helen,40.0
2011,irene,80.0
2011,iris,104.0
2011,isabel,48.0
2011,isabella,268.0
2011,isabelle,44.0
2011,ivy,140.0
2011,janice,56.0
2011,jannat,52.0
2011,jasmine,124.0
2011,jennifer,72.0
2011,jenny,108.0
2011,jessica,104.0
2011,jessie,72.0
2011,jia,48.0
2011,joanna,152.0
2011,jocelyn,60.0
2011,joy,56.0
2011,joyce,88.0
2011,julia,96.0
2011,kaitlyn,44.0
2011,karen,88.0
2011,kate,40.0
2011,katelyn,56.0
2011,katherine,84.0
2011,katie,72.0
2011,kayla,84.0
2011,kaylee,80.0
2011,kelly,88.0
2011,khloe,52.0
2011,kylie,44.0
2011,lauren,52.0
2011,leah,64.0
2011,leela,40.0
2011,lillian,64.0
2011,lily,60.0
2011,madison,76.0
2011,maggie,40.0
2011,mandy,48.0
2011,maryam,68.0
2011,maya,108.0
2011,megan,40.0
2011,melody,52.0
2011,mia,144.0
2011,michelle,168.0
2011,mila,68.0
2011,mina,48.0
2011,natalie,80.0
2011,nicole,132.0
2011,nina,84.0
2011,olivia,356.0
2011,phoebe,72.0
2011,queenie,60.0
2011,rachel,72.0
2011,raina,44.0
2011,rebecca,52.0
2011,renee,40.0
2011,sabrina,92.0
2011,samantha,88.0
2011,sara,96.0
2011,sarah,152.0
2011,selena,52.0
2011,selina,104.0
2011,serena,68.0
2011,sharon,80.0
2011,shirley,48.0
2011,sofia,76.0
2011,sophia,476.0
2011,sophie,100.0
2011,stella,44.0
2011,stephanie,88.0
2011,syeda,64.0
2011,tanisha,40.0
2011,tenzin,104.0
2011,tiffany,216.0
2011,tina,56.0
2011,vanessa,60.0
